Name,Ticker,IM Code,Industry,Sub-Industry,naming,Price (local currency),Currency,Total return from 2018_1_1 (in %) to 2025_September 4,Company Info,Directors,GICS_Industry,GICS Sub industry,Business Description,Market Cap (Local Currency),Market Cap (USD),Last trade date,Sales,"Total Revenue (Local currency, $)","LTM revenue (Local currency, $)","NTM revenue (Local currency, $)","Asset Turnover (x, LTM) ",Profits,"Net profits (Actual, nearest fiscal year FY0, local currency, $)","EPS Trailing (Col A / Col AY), Local",EPS Actual (FY0),EPS Forecast (FY1),EPS Growth (%),PEG (X),"Operating Margin (%, Trailing)",Operating Profits per share,"ROA (%, Trailing)","ROE (%, Trailing)",Operating Leverage,Contributing Margin,"Operating Margin (%, Trailing)",Operating Leverage (x) (chg of EBIT / chg. Of total revenue),Financials,"Altman Z Score Manufacturing (x, FY0)","Altman Z Score Non-Manufacturing (x, FY0)","RoA (%, Trailinig)","RoE (%, Trailing)","Total Assets (Local, $ FY0)","Net assets (Local $, FY0)",Net tangible assets,"Total Debt (Local $, FY0)","Interest expense per year ($, FY0)","Effective average interest rate (%, FY0)","Interest Coverage Ratio (x, FY0)","Debt to Total assets (%, FY0)",Debt to Equity %  (Trailing),"EBITDA  (Local $, FY0)","EBITDA  (Local $, FY-1)",Chg. Of EBITDA,"Cash flow from operations (Local $, FY0)","Cash flow from operations (Local $, FY-1)",Chg. Of CF from Operations,"Interest coverage ratio (x, FY0)","Current Ratio (x, Trailing)","Quick Ratio (x, Trailing)","Ratio of ""Operating CF / Total Debt""  (x)",Valuation,"PE ratio (x, Trailing)","PEG ratio (x, FY1)","PE Ratio (x, consensus forecast)","Dividend yield (%, FY0)",Dividend payout ratio  (%),Dividend (local currency),"Dividened per Share of common stock primary, 3 yr CAGR","Dividened per Share of common stock primary, 5 yr CAGR","Dividened per Share of common stock primary, 10 yr CAGR",Standard Deviation of Dividend per share in the last 3 years,Standard Deviation of Dividend per share in the last 5 years,Standard Deviation of Dividend per share in the last 10 years,"Net assets per share ($, FY0)",,Altman Z score__Manufatcuring weight,WorkingCapital to Total Assets (x),[WorkCap / Tassets] * 1.2,Retained Earnings Accumulated to Total Assets (x),[RetEarnings / Tassets] *1.4,EBIT / Total Assets (x),[EBIT / Tassets]  *3.3,Mkt Value of Equity / BV of Total Liabilities (x),[MktV Equity / BV Tliab]  *0.6,Sales to Total Assets (x ),[Sales / Tassets]  *1,Sum check,,52w_Hi (Local),52w_Lo (Local)
360 Security Technology Inc,601360.SS,F2,Supporting technologies,Internet and network security ,IS - F2 Internet and network security  - 360 Security Technology Inc - 601360.SS,10.58,Chinese Renminbi,-76.040,,Mr. Hongwei Zhou,Software,Systems Software,"360 Security Technology Inc is a China-based company principally engaged in the provision of Internet and security services. The Company primarily operates its businesses through two segments. The Internet and Smart Hardware Business segment is mainly engaged in Internet commercialization business represented by Internet advertising and services, Internet value-added business represented by artificial intelligence (AI) Internet products and game distribution, and security smart hardware business represented by smart cameras, video doorbells, driving recorders, and large-scale children's watches. The Security Business segment is mainly engaged in digital security business. The Company mainly conducts its businesses in the domestic market.","74,054,285,388.28","10,389,463,342.96",4/9/2025,,"7,947,683,000.00","8,083,062,000.00","8,393,889,002.50",0.211,,"-1,093,799,000.00",#VALUE!,-0.16,-0.034,-78.54%,NULL,-10.872,,-2.725,-3.405,,,-10.872,11.287,,6.668,13.935,-2.725,-3.405,"38,256,187,000",NULL,,"2,021,435,000",NULL,2.101,-19.263,5.28%,5.700101527,"-1,018,333,000","-490,118,000",-107.77%,NULL,"924,293,000",#VALUE!,-19.263,4.110,4.056,#VALUE!,,NULL,NULL,1204.725,0.95%,(121.51%),0.10,0.000%,13.539%,(10.404%),0.050 ,0.049 ,0.064 ,NULL,,6.668,0.527,0.632,0.359,0.503,-0.021,-0.070,8.999,5.400,0.203,0.203,6.668,,15.24,6.66
Semiconductor Manufacturing International Corp,688981.SS,F2,Supporting technologies,Making semiconductors / foundry ,IS - F2 Making semiconductors / foundry  - Semiconductor Manufacturing International Corp - 688981.SS,114.76,Chinese Renminbi,38.398,,Mr. Xunfeng Liu,Semiconductors & Semiconductor Equipment,Semiconductors,"Semiconductor Manufacturing International Corp is an investment holding company principally engaged in integrated circuit foundry business. The Company is engaged in the manufacturing and testing of silicon wafers and types of compound semiconductor integrated circuit wafers. The Company also provides integrated circuit-related development, design and technical services, photomask manufacturing, testing and sales of self-produced products as well as other services. The Company provides foundry and technical services to domestic and foreign customers.","535,721,993,803.51","119,358,439,586.06",29/8/2025,,"57,795,570,000.00","63,874,309,000.00","10,530,372,157.50",0.186,,"514,033,060.00",0.54,0.06393,0.081,27.11%,NULL,12.687,,2.067,2.952,,,12.687,1.016,,2.712,5.118,2.067,2.952,"353,415,296,000","31,387,537,850",,"83,362,468,000",NULL,2.715,1.523,23.59%,54.35302684,"3,838,852,400","3,105,482,900",23.62%,"3,149,050,940","3,254,620,430",-3.24%,1.523,1.776,1.370,0.038,,211.243,NULL,152.878,NULL,0.00%,0.00,NULL,NULL,NULL,0.000 ,0.000 ,0.000 ,3.992,,2.712,0.127,0.152,0.112,0.156,0.009,0.031,3.677,2.206,0.167,0.167,2.712,,119.22,42.40
NARI Technology Co Ltd,600406.SS,F2,Supporting technologies,Power automation / grid technology ,IS - F2 Power automation / grid technology  - NARI Technology Co Ltd - 600406.SS,21.3,Chinese Renminbi,132.633,,Mr. Zongqiang Zheng,Electrical Equipment,Heavy Electrical Equipment,"NARI Technology Co., Ltd. is a China-based company principally engaged in the development, production and sales of hardware and software products related to the power industry. The Company is also engaged in the provision of related system integration services. The Company's main products include power grid automation products, power generation and new energy products, energy saving and environmental protection products, industrial control (including rail transportation) products, among others. The Company mainly distributes its products in domestic markets and overseas markets.","171,081,084,292.81","23,754,124,405.59",4/9/2025,,"57,417,254,950.00","61,546,322,630.00","71,288,639,345.00",0.701,,"7,610,121,000.00",0.98,0.95,1.061,11.65%,1.904,14.836,,9.593,16.407,,,14.836,0.394,,4.735,9.286,9.593,16.407,"92,705,313,120","52,735,893,000",,"2,925,704,080","28,697,840",1.113,292.696,3.16%,1.480307542,"10,371,109,000","9,822,000,000",5.59%,"11,085,892,940","11,444,091,920",-3.13%,292.696,1.973,1.611,3.789,,21.789,1.904,18.544,2.68%,NULL,0.57,26.033%,27.705%,19.931%,0.146 ,0.164 ,0.154 ,6.605,,4.735,0.389,0.466,0.372,0.521,0.094,0.310,4.659,2.796,0.642,0.642,4.735,,30.44,21.08
Ningbo Deye Technology Co Ltd,605117.SS,F2,Supporting technologies,Power electronics / inverter ,IS - F2 Power electronics / inverter  - Ningbo Deye Technology Co Ltd - 605117.SS,68.68,Chinese Renminbi,685.154,,Mr. Hejun Zhang,Electrical Equipment,Electrical Components & Equipment,"Ningbo Deye Technology Co Ltd is a China-based company mainly engaged in the production of heat exchanger series, circuit control series and environmental electrical appliances series. The Company is mainly engaged in the research, development (R&D), production and sales of components such as evaporators, condensers and frequency conversion control chips, as well as environmental electrical products such as dehumidifiers and air-source heat pump heaters. The Company's heat exchanger products and circuit control products are mainly used in environmental electrical products, and mainly household air conditioners and dehumidifiers. The","62,116,529,821.86","8,613,355,972.08",4/9/2025,,"11,206,467,580.00","11,993,738,500.00","16,791,798,887.50",0.763,,"2,960,347,000.00",3.62,3.4,4.138,21.70%,NULL,31.151,,20.686,34.835,,,31.151,1.134,,8.341,15.142,20.686,34.835,"15,114,420,840","9,594,644,440",,"1,025,475,420","43,296,460",1.312,71.812,6.78%,24.18087297,"3,324,104,000","2,021,513,000",64.44%,"3,366,659,090","2,080,970,200",61.78%,71.812,1.829,1.613,3.283,,18.995,NULL,14.292,3.95%,NULL,2.71,123.549%,NULL,NULL,1.085 ,1.085 ,1.085 ,NULL,,8.341,0.351,0.421,0.327,0.458,0.241,0.797,9.667,5.800,0.864,0.864,8.341,,79.86,49.88
Sungrow Power Supply Co Ltd,300274.SZ,F2,Supporting technologies,Power electronics / renewable energy ,IS - F2 Power electronics / renewable energy  - Sungrow Power Supply Co Ltd - 300274.SZ,116,Chinese Renminbi,809.614,,Mr. Renxian Cao,Electrical Equipment,Electrical Components & Equipment,"Sungrow Power Supply Co., Ltd. is a China-based company principally engaged in the research, development and manufacture of photovoltaic inverters, as well as power station system integration businesses. The main products of the Company include photovoltaic inverters, wind energy converters, energy storage systems and motor controllers for electric vehicles, among others. Its power station system integration businesses include the development, design and system integration of photovoltaic power generation projects, as well as the provision of power station-level performance optimization services and operation and maintenance services. The Company operates businesses in both domestic market and overseas market.","240,489,157,648.82","33,730,982,069.98",4/9/2025,,"77,856,966,970.00","90,370,326,410.00","102,437,906,125.00",0.805,,"11,036,279,000.00",6.66,5.32,6.380,19.92%,NULL,19.042,,12.424,36.957,,,19.042,2.228,,3.125,5.776,12.424,36.957,"115,073,771,120","40,569,958,460",,"31,417,037,440","391,866,130",1.459,33.752,27.30%,37.13758001,"14,674,564,000","12,164,973,000",20.63%,"12,068,326,650","6,981,839,000",72.85%,33.752,1.614,1.099,0.384,,17.407,NULL,17.448,0.93%,30.47%,1.08,139.191%,84.880%,49.138%,0.472 ,0.427 ,0.360 ,19.557,,3.125,0.303,0.363,0.256,0.359,0.134,0.441,1.958,1.175,0.787,0.787,3.125,,124.08,52.98
Hygon Information Technology Co Ltd,688041.SS,F2,Supporting technologies,"Processors, semiconductors ","IS - F2 Processors, semiconductors  - Hygon Information Technology Co Ltd - 688041.SS",173.28,Chinese Renminbi,189.252,,Ms. Wenchao Xu,Semiconductors & Semiconductor Equipment,Semiconductors,"Hygon Information Technology Co Ltd is a China-based company mainly engaged in the research and development (R&D), design and sales of high-end processors. The Company's products include Hygon central processing unit (CPU) and Hygon drive control unit (DCU). Hygon CPU products include 7000 series, 5000 series and 3000 series. Hygon DCU products mainly include 8000 series. Hygon CPU is used in telecommunications, finance, Internet, education, transportation and other fields. Hygon DCU is used in big data processing, artificial intelligence, business computing and other fields. The Company mainly operates its businesses in the domestic market.","402,755,664,678.67","56,593,372,064.73",4/9/2025,,"9,162,148,140.00","10,863,470,580.00","18,499,699,722.50",0.379,,"1,930,991,000.00",0.98,0.83,1.363,64.26%,NULL,29.882,,10.951,11.253,,,29.882,1.612,,26.595,48.278,10.951,11.253,"28,559,492,040","23,167,151,640",,"2,901,502,610","181,990,000",2.094,59.259,10.16%,14.33260203,"4,010,145,000","2,168,470,000",84.93%,"977,081,000","813,705,260",20.08%,59.259,3.809,2.771,0.337,,176.863,NULL,99.407,NULL,17.35%,0.17,NULL,NULL,NULL,0.065 ,0.065 ,0.065 ,NULL,,26.595,0.484,0.581,0.131,0.183,0.101,0.333,41.904,25.143,0.356,0.356,26.595,,217.66,73.80
Loongson Technology Corp Ltd,688047.SS,F2,Supporting technologies,"Processors, semiconductors ","IS - F2 Processors, semiconductors  - Loongson Technology Corp Ltd - 688047.SS",125.61,Chinese Renminbi,41.024,,Mr. Weiwu Hu,Semiconductors & Semiconductor Equipment,Semiconductors,"Loongson Technology Corp Ltd is a China-based company mainly engaged in the research, development, manufacturing, and servicing of computer processing units (CPU) and related chips. The Company's main products include Loongson series CPU and related chips, as well as fundamental software and hardware solutions. The Company mainly targets at fields such as network security, office and business information, industrial control, and Internet of things. The Company's products are mainly used in the industries of electronic government, energy, transportation, finance, telecommunication, and education, among others.","50,368,904,691.45","7,058,799,395.08",4/9/2025,,"504,257,190.00","528,183,240.00","945,250,000.00",0.151,,"-625,347,000.00",#VALUE!,-1.56,-0.440,-71.79%,NULL,-129.669,,-19.483,-22.942,,,-129.669,187.478,,56.716,101.546,-19.483,-22.942,"3,497,483,390",NULL,,"104,139,380",NULL,NULL,NULL,2.98%,0.411825937,NULL,"-281,940,000",#VALUE!,"-335,010,150","-410,327,450",18.36%,NULL,7.349,4.723,-3.217,,NULL,NULL,NULL,NULL,NULL,0.00,NULL,NULL,NULL,0.000 ,0.000 ,0.000 ,NULL,,56.716,0.634,0.760,-0.160,-0.224,-0.182,-0.601,94.413,56.648,0.133,0.133,56.716,,168.88,86.78
Zhejiang Jingsheng Mechanical & Electrical Co Ltd,300316.SZ,F2,Supporting technologies,Semiconductor materials / machinery ,IS - F2 Semiconductor materials / machinery  - Zhejiang Jingsheng Mechanical & Electrical Co Ltd - 300316.SZ,29.6,Chinese Renminbi,96.547,,Mr. Jianwei Cao,Semiconductors & Semiconductor Equipment,Semiconductor Materials & Equipment,"Zhejiang Jingsheng Mechanical & Electrical Co Ltd is a China-based company primarily engaged in the research, development, production, and sales of semiconductor equipment, semiconductor substrate materials, semiconductor consumables, and components. The Company's semiconductor equipment includes semiconductor integrated circuit equipment, compound semiconductor equipment, and new energy photovoltaic equipment. The Company's semiconductor precision components encompass three product lines: chambers and structural components (transmission chambers, reaction chambers, and vacuum chambers), functional components (gas distribution plates, precision transmission devices, magnetic fluid seals, and superconducting magnets), and consumables and seals (ring-type components, chamber shields, and semiconductor valve fittings).","38,761,657,617.27","5,418,646,722.12",4/9/2025,,"17,576,612,660.00","13,228,348,350.00","13,462,694,407.50",0.416,,"2,509,729,990.00",0.81,1.91651,1.618,-15.58%,NULL,6.430,,2.776,6.303,,,6.430,20.997,,3.385,6.704,2.776,6.303,"31,550,179,910","18,238,128,470",,"2,695,906,080","54,464,590",1.788,54.735,8.54%,13.11953712,"3,911,313,000","6,476,116,000",-39.60%,"1,773,443,640","3,087,793,260",-42.57%,54.735,1.886,0.927,0.658,,36.580,NULL,14.303,1.35%,NULL,0.40,12.625%,31.951%,27.599%,0.177 ,0.223 ,0.224 ,NULL,,3.385,0.286,0.343,0.394,0.552,0.090,0.297,2.798,1.679,0.514,0.514,3.385,,42.80,21.39
JA Solar Technology Co Ltd,002459.SZ,F2,Supporting technologies,Semiconductor materials / solar ,IS - F2 Semiconductor materials / solar  - JA Solar Technology Co Ltd - 002459.SZ,13.5,Chinese Renminbi,132.941,,Mr. Baofang Jin,Semiconductors & Semiconductor Equipment,Semiconductors,"JA Solar Technology Co Ltd is a China-based company mainly engaged in the research and development, production and sales of silicon wafers, solar cells and solar modules. The Company is also engaged in the development, construction and operation of solar photovoltaic power plants. The Company's main products are solar modules, including polycrystalline silicon solar modules and monocrystalline silicon solar modules. Its silicon wafers include monocrystalline silicon wafers and polycrystalline silicon wafers. Its monocrystalline silicon wafers are mainly used for processing monocrystalline silicon solar cells, while its polycrystalline silicon wafers are mainly used for processing polycrystalline silicon solar cells. Its solar cells mainly include monocrystalline silicon cells and polycrystalline silicon cells. The Company mainly distributes its electricity produced by photovoltaic power plants to grid companies. The Company conducts its businesses in domestic and overseas markets.","44,680,048,195.69","6,140,708,258.60",4/9/2025,,"70,120,697,030.00","56,668,713,780.00","72,871,724,525.00",0.496,,"-4,655,944,000.00",#VALUE!,-1.42,-0.628,-55.76%,NULL,-11.943,,-5.742,-22.526,,,-11.943,8.043,,1.277,1.477,-5.742,-22.526,"112,958,012,310","29,678,008,680",,"48,392,608,060","1,061,946,650",2.673,-1.165,42.84%,133.9196731,"2,063,089,000","11,766,317,000",-82.47%,"3,346,575,960","12,414,145,390",-73.04%,-1.165,1.171,0.936,0.069,,NULL,NULL,NULL,0.00%,0.00%,0.00,NULL,NULL,NULL,0.266 ,0.219 ,0.219 ,NULL,,1.277,0.044,0.053,0.216,0.302,-0.011,-0.037,0.535,0.321,0.639,0.639,1.277,,19.70,9.05
TCL Zhonghuan Renewable Energy Technology Co Ltd,002129.SZ,F2,Supporting technologies,Semiconductor materials and equipment ,IS - F2 Semiconductor materials and equipment  - TCL Zhonghuan Renewable Energy Technology Co Ltd - 002129.SZ,8.32,Chinese Renminbi,-5.199,,Mr. Dongsheng Li,Semiconductors & Semiconductor Equipment,Semiconductor Materials & Equipment,"TCL Zhonghuan Renewable Energy Technology Co Ltd, formerly Tianjin Zhonghuan Semiconductor Ltd, is a China-based company principally engaged in the manufacture and distribution of new energy products, semiconductor materials, and semiconductor devices. The Company's main products include new energy photovoltaic silicon wafers, photovoltaic cells and modules, other silicon materials and photovoltaic power station project development and operation. The Company is also engaged in financial leasing business. The Company's products are mainly used in integrated circuits, consumer electronics, power grid transmission, wind power generation, rail transportation, new energy vehicles, 5G, artificial intelligence, photovoltaic power generation, industrial control and other industries. The Company sells its products in the domestic market and overseas markets.","33,638,252,199.74","4,733,028,238.48",4/9/2025,,"28,418,504,240.00","25,603,134,290.00","35,588,061,865.00",0.203,,"-9,818,365,000.00",#VALUE!,-2.463,-1.065,-56.76%,NULL,-49.736,,-9.857,-34.499,,,-49.736,4.636,,0.341,0.344,-9.857,-34.499,"125,597,525,160","46,545,723,240",,"62,180,275,760","1,351,857,900",2.416,-6.443,49.51%,191.6587438,"-1,931,670,000","12,225,806,000",-115.80%,"2,839,341,940","5,181,162,670",-45.20%,-6.443,1.237,0.980,0.046,,NULL,NULL,NULL,0.00%,0.00%,0.00,NULL,NULL,NULL,0.109 ,0.093 ,0.088 ,NULL,,0.341,0.038,0.045,0.050,0.071,-0.069,-0.229,0.379,0.227,0.227,0.227,0.341,,13.50,7.11
NAURA Technology Group Co Ltd,002371.SZ,F2,Supporting technologies,Semiconductor materials and equipment ,IS - F2 Semiconductor materials and equipment  - NAURA Technology Group Co Ltd - 002371.SZ,350.95,Chinese Renminbi,1053.757,,Mr. Jinrong Zhao,Semiconductors & Semiconductor Equipment,Semiconductor Materials & Equipment,"NAURA Technology Group Co Ltd is a China-based company mainly engaged in the research and development, production, sales and technical services of basic electronic products. The Company's main products are electronic process equipment and electronic components. The Company's electronic process equipment mainly includes semiconductor equipment, vacuum equipment and lithium battery equipment. Its electronic components mainly include resistors, capacitors, crystal devices, microwave components, module power supplies and hybrid integrated circuits. Its products are used in integrated circuits, semiconductor lighting, power devices, micro-electromechanical systems, advanced packaging, photovoltaics, new displays, vacuum electronics, new materials, lithium-ion batteries, aerospace, precision instrumentation, automatic control and other industries. The Company mainly conducts its businesses in the China market.","253,243,189,211.79","35,461,777,150.12",4/9/2025,,"29,838,069,160.00","33,644,708,140.00","46,130,559,535.00",0.503,,"5,621,189,000.00",8.27,7.82593,10.442,33.42%,NULL,19.902,,9.114,19.711,,,19.902,1.370,,5.194,10.035,9.114,19.711,"65,708,880,830","38,062,949,620",,"8,337,298,210","173,682,590",2.124,37.809,12.69%,26.31803683,"7,657,458,000","5,159,310,000",48.42%,"1,573,165,050","2,365,007,740",-33.48%,37.809,2.088,0.996,0.189,,42.422,NULL,28.016,0.22%,6.92%,0.79,72.923%,75.868%,NULL,0.278 ,0.298 ,0.272 ,52.838,,5.194,0.346,0.415,0.215,0.301,0.110,0.363,6.025,3.615,0.500,0.500,5.194,,402.57,206.02
Hangzhou First Applied Material Co Ltd,603806.SS,F2,Supporting technologies,Semiconductor materials and equipment ,IS - F2 Semiconductor materials and equipment  - Hangzhou First Applied Material Co Ltd - 603806.SS,15.32,Chinese Renminbi,192.495,,Mr. Jianhua Lin,Semiconductors & Semiconductor Equipment,Semiconductor Materials & Equipment,"Hangzhou First Applied Material Co Ltd (formerly as Hangzhou First PV Material Co., Ltd.) is a China-based company mainly engaged in the research, development, production and sales of functional polymer materials in film form. The Company's main products include ethylene-vinyl acetate copolymer (EVA) film, hot melt film, backplane, olefin film, solar power generation system and hot melt mesh film. The Company is also engaged in photovoltaic power generation business, as well as providing textile materials and electronic materials. The Company sells products in domestic and foreign markets.","39,965,287,412.45","5,596,360,243.18",4/9/2025,,"19,147,424,270.00","16,342,256,570.00","22,173,835,092.50",0.761,,"1,307,560,000.00",0.33,0.5,0.563,12.57%,NULL,6.351,,3.919,5.327,,,6.351,1.730,,7.496,15.095,3.919,5.327,"21,211,809,320","16,711,212,040",,"3,114,606,360","57,062,930",1.626,26.013,14.68%,19.4567965,"1,904,117,000","2,369,851,000",-19.65%,"4,388,751,850","-26,083,650",16925.68%,26.013,11.014,9.609,1.409,,46.424,NULL,21.864,1.70%,NULL,0.26,26.794%,16.858%,13.224%,0.079 ,0.064 ,0.056 ,NULL,,7.496,0.682,0.819,0.527,0.738,0.069,0.228,8.036,4.822,0.890,0.890,7.496,,20.10,11.74
Advanced Micro-Fabrication Equipment Inc China,688012.SS,F2,Supporting technologies,Semiconductor materials and equipment ,IS - F2 Semiconductor materials and equipment  - Advanced Micro-Fabrication Equipment Inc China - 688012.SS,195.4,Chinese Renminbi,142.444,,Mr. Zhiyao Yin,Semiconductors & Semiconductor Equipment,Semiconductor Materials & Equipment,"Advanced Micro-Fabrication Equipment Inc China is a China-based company primarily engaged in the research and development, production and sales of semiconductor equipment. The Company provides etching equipment, metal organic chemical vapor deposition (MOCVD) equipment, thin film deposition equipment and other equipment. Etching equipment includes capacitive plasma etching equipment, inductive plasma etching equipment and deep silicon etching equipment. Thin film deposition equipment includes low pressure chemical vapor deposition equipment (LPCVD) and atomic layer deposition equipment (ALD). Other equipment includes volatile organic compound (VOC) equipment. The Company mainly conducts business in domestic and overseas market.","122,347,079,779.19","17,184,056,168.11",4/9/2025,,"9,065,165,100.00","10,578,053,620.00","14,993,367,657.50",0.403,,"1,615,676,000.00",2.89,2.6,3.622,39.30%,NULL,17.538,,6.843,9.285,,,17.538,0.113,,12.314,23.190,6.843,9.285,"26,217,544,720","19,735,541,890",,"768,419,840","15,420,780",2.382,88.841,2.93%,3.538695007,"1,877,211,000","2,068,209,000",-9.23%,"1,458,401,790","-976,926,440",249.28%,88.841,2.983,1.749,1.898,,67.612,NULL,41.257,NULL,NULL,0.30,NULL,NULL,NULL,0.245 ,0.216 ,0.216 ,31.711,,12.314,0.468,0.561,0.203,0.284,0.057,0.189,18.166,10.900,0.380,0.380,12.314,,256.99,115.50
ACM Research Shanghai Inc,688082.SS,F2,Supporting technologies,Semiconductor materials and equipment ,IS - F2 Semiconductor materials and equipment  - ACM Research Shanghai Inc - 688082.SS,141,Chinese Renminbi,10.388,,Mr. Hui (David) Wang,Semiconductors & Semiconductor Equipment,Semiconductor Materials & Equipment,"ACM Research Shanghai Inc is a China-based company mainly engaged in semiconductor business. The Company's main businesses are the research and development, production and sales of special equipment for semiconductors. The Company's products include semiconductor cleaning equipment, semiconductor electroplating equipment, and advanced packaging wet equipment. The Company's products are used in semiconductor wafer manufacturing, advanced packaging, silicon wafer manufacturing and recycling, and scientific research.","62,221,186,233.65","8,801,847,931.60",4/9/2025,,"5,617,740,380.00","6,479,135,490.00","8,281,015,062.50",0.537,,"1,153,188,000.00",3.17,2.61,3.506,34.32%,NULL,25.163,,11.635,18.462,,,25.163,1.016,,7.694,15.053,11.635,18.462,"12,128,452,380","7,723,537,830",,"1,249,637,270",NULL,2.913,44.925,10.30%,17.6291949,"1,371,271,000","1,023,443,000",33.99%,"1,216,142,990","-426,963,660",384.84%,44.925,2.685,1.489,0.973,,44.472,NULL,34.785,NULL,NULL,0.65,NULL,NULL,NULL,0.304 ,0.304 ,0.304 ,NULL,,7.694,0.492,0.590,0.234,0.327,0.110,0.364,9.831,5.899,0.513,0.513,7.694,,170.60,77.21
National Silicon Industry Group Co Ltd,688126.SS,F2,Supporting technologies,Semiconductor materials ,IS - F2 Semiconductor materials  - National Silicon Industry Group Co Ltd - 688126.SS,20,Chinese Renminbi,83.795,,Mr. Yuehui Yu,Semiconductors & Semiconductor Equipment,Semiconductor Materials & Equipment,"National Silicon Industry Group Co Ltd is a China-based company mainly engaged in the research, development, production and sales of semiconductor wafers. The Company operates two business segments. The 200mm and Below Semiconductor Wafer segment is engaged in the production and sale of 200mm and below semiconductor wafers. The 300mm Semiconductor Wafer segment is engaged in the production and sale of 300mm semiconductor wafers. The Company conducts its businesses within domestic market and to overseas markets such as North America, Europe, and other Asian countries or regions.","54,942,774,364.21","7,693,665,628.59",4/9/2025,,"3,387,611,700.00","3,515,640,090.00","4,878,043,912.50",0.120,,"-970,537,000.00",#VALUE!,-0.353,-0.015,-95.82%,NULL,-33.696,,-4.032,-7.668,,,-33.696,-571.308,,2.123,4.323,-4.032,-7.668,"29,269,842,390","19,201,397,000",,"6,555,236,350","171,234,000",2.921,-5.062,22.40%,59.61132329,"-89,833,000","909,120,000",-109.88%,"-787,717,870","-274,727,360",-186.73%,-5.062,2.338,1.926,-0.120,,NULL,NULL,310.211,NULL,NULL,0.00,NULL,NULL,NULL,0.020 ,0.018 ,0.018 ,NULL,,2.123,0.180,0.216,0.044,0.061,-0.030,-0.098,3.047,1.828,0.116,0.116,2.123,,27.34,13.03
SG Micro Corp,300661.SZ,F2,Supporting technologies,Semiconductors (analog) ,IS - F2 Semiconductors (analog)  - SG Micro Corp - 300661.SZ,71.21,Chinese Renminbi,641.865,,Mr. Shilong Zhang,Semiconductors & Semiconductor Equipment,Semiconductors,"SG Micro Corp is a China-based company engaged in design and sales of analog integrated circuit chips. The Company's products include power management products and signal chain products. Signal chain analog chips include various operational amplifiers, instrumentation amplifiers, comparators, digital-to-analog converters, analog front ends, audio power amplifiers, video buffers, line drivers, analog switches, temperature sensors, level conversion chips, interface circuits, voltage reference chips, small logic chips and others. Power management analog chips include system monitoring circuits, backlight and flash Light-emitting diode (LED) drivers, AMOLED power chips, load switches, overvoltage protection, battery charge and discharge management chips, battery protection chips, motor driver chips and others. The Company's products are used in industrial control, automotive electronics, communications equipment, consumer electronics and medical instruments.","44,000,914,685.53","6,169,258,538.37",4/9/2025,,"3,346,983,120.00","3,589,337,790.00","4,745,012,700.00",0.639,,"500,248,000.00",0.84,0.81308,1.064,30.88%,NULL,13.743,,9.143,11.703,,,13.743,3.785,,22.137,40.257,9.143,11.703,"5,771,119,560","4,674,959,750",,"104,634,700","2,241,690",2.999,181.373,1.81%,2.695127302,"568,975,000","344,364,000",65.22%,"549,337,600","170,670,820",221.87%,181.373,4.351,2.999,5.250,,84.439,NULL,50.260,0.22%,NULL,0.15,(7.948%),11.908%,NULL,0.053 ,0.048 ,0.055 ,NULL,,22.137,0.489,0.587,0.470,0.659,0.078,0.256,33.328,19.997,0.639,0.639,22.137,,97.38,50.14
GigaDevice Semiconductor Inc,603986.SS,F2,Supporting technologies,Semiconductors (memory) ,IS - F2 Semiconductors (memory)  - GigaDevice Semiconductor Inc - 603986.SS,153.98,Chinese Renminbi,165.841,,Mr. Yiming Zhu,Semiconductors & Semiconductor Equipment,Semiconductors,"GigaDevice Semiconductor Inc, formerly GigaDevice Technology Group Co Ltd, is a China-based company mainly engaged in the research and development, technical support and sales of memory, microcontrollers and sensors. The memory business mainly includes the manufacture of flash memory chips (NOR Flash, NAND Flash) and dynamic random access memory (DRAM). The Micro Control Unit (MCU) business mainly includes the production of 32-bit general-purpose MCUs. The sensor business mainly includes the research and development of human-computer interaction sensor chips and solutions, and its products mainly include embedded sensor chips, capacitive, ultrasonic, and optical mode fingerprint recognition chips, as well as self-capacitance and mutual-capacitance touch screen control chips. Its products are applied in handheld mobile terminals such as mobile phones and tablet computers, consumer electronic products, Internet of Things terminals and other fields.","102,245,903,969.75","13,947,474,780.86",4/9/2025,,"7,355,977,680.00","7,897,248,990.00","10,862,430,535.00",0.419,,"1,102,543,000.00",1.75,1.66,2.361,42.21%,1.801,14.998,,6.220,7.070,,,14.998,10.603,,17.270,32.179,6.220,7.070,"19,228,833,820","16,728,512,310",,"1,001,367,930","19,252,840",3.445,33.947,5.21%,5.45338883,"1,142,165,000","306,397,000",272.77%,"2,032,230,240","1,186,749,310",71.24%,33.947,5.772,4.712,2.029,,87.912,1.801,53.475,0.22%,NULL,0.34,(31.547%),11.889%,NULL,0.449 ,0.369 ,0.330 ,25.114,,17.270,0.525,0.631,0.371,0.519,0.037,0.121,25.978,15.587,0.412,0.412,17.270,,188.00,64.13
